"dataset_id";"observacao_id";"camada_id";"camada_nome";"amostra_id";"profund_sup";"profund_inf";"acidez_acetcal70_naoh";"aluminio_kcl_naoh";"calcio_kcl_eaa";"magnesio_kcl_eaa";"carbono_cromo_30min150_mohr";"ph_h2o_25_xxx";"fosforo_mehlich1_eam";"potassio_mehlich1_eeac";"sodio_mehlich1_eeac";"dsi_cilindro";"areiafina_naoh_esferas_peneira";"areia_naoh_esferas_peneira";"argila_naoh_esferas_pipeta"
"ctb0036";"ACC-7005-2008";"1";NA;"b";"0";"20";2,64;0,57;1,41;1,98;7,9;NA;2,04;0,06;0,04;NA;NA;676;171
"ctb0036";"ACC-7006-2008";"1";NA;"b";"0";"20";4,04;1,72;0,79;1,58;6,2;NA;1,13;0,19;0,23;NA;NA;593;243
"ctb0036";"ACC-7007-2008";"1";NA;"b";"0";"20";3,74;1,73;0,93;1,98;5,9;NA;0,93;0,2;0,18;NA;NA;610;202
"ctb0036";"ACC-8003-2008";"1";NA;"b";"0";"20";3,24;1,46;0,76;0,79;5;NA;1,2;0,04;0,07;NA;NA;645;202
"ctb0036";"ACC-8004-2008";"1";NA;"b";"0";"20";2,6;0,62;0,75;1,19;6,7;NA;2,2;0,26;0,25;NA;NA;677;158
"ctb0036";"ACC-8005-2008";"1";NA;"b";"0";"20";2,78;0,87;0,51;0,79;6,5;NA;NA;0,16;0,62;NA;NA;722;130
"ctb0036";"ACC-8006-2008";"1";NA;"b";"0";"20";3,54;1,62;0,78;1,32;5,5;NA;1,25;0,17;0,26;NA;NA;638;171
"ctb0036";"ACC-8007-2008";"1";NA;"b";"0";"20";4,24;2,87;0,72;NA;3,4;NA;0,84;0,17;0,05;NA;NA;572;222
"ctb0036";"ACC-9003-2008";"1";NA;"b";"0";"20";3,84;1,77;1,03;1,45;4,1;NA;1,38;0,08;0,03;NA;NA;559;282
"ctb0036";"ACC-9004-2008";"1";NA;"b";"0";"20";4,14;2,15;0,67;0,79;6,5;NA;1,59;0,05;0,04;NA;NA;620;216
"ctb0036";"ACC-9005-2008";"1";NA;"b";"0";"20";0,34;0,11;1,97;1,84;7,8;NA;7,5;0,82;0,77;NA;NA;711;153
"ctb0036";"ACC-9006-2008";"1";NA;"b";"0";"20";1,98;0,41;0,77;1,05;5;NA;2,29;0,39;0,22;NA;NA;696;158
"ctb0036";"ACC-9007-2008";"1";NA;"b";"0";"20";2,7;0,82;0,49;0,92;4,7;NA;1,7;0,4;0,54;NA;NA;678;155
"ctb0036";"ACC-10003-2008";"1";NA;"b";"0";"20";3,14;1,61;0,78;1,05;3,9;NA;1,37;0,1;0,03;NA;NA;621;219
"ctb0036";"ACC-10004-2008";"1";NA;"b";"0";"20";3,36;1,77;0,74;0,66;3,7;NA;0,56;0,03;0,07;NA;NA;619;194
"ctb0036";"ACC-10005-2008";"1";NA;"b";"0";"20";3,42;1,58;0,51;0,53;3,3;NA;0,91;0,08;0,01;NA;NA;643;183
"ctb0036";"ACC-10006-2008";"1";NA;"b";"0";"20";4,86;2,51;1,1;1,58;3,4;NA;0,61;0,05;0,05;NA;NA;517;312
"ctb0036";"ACC-10007-2008";"1";NA;"b";"0";"20";4,92;2,32;1,5;1,98;7;NA;1,6;0,25;0,1;NA;NA;485;356
"ctb0036";"ACC-11002-2008";"1";NA;"b";"0";"20";3,64;1,42;0,89;1,05;7,1;NA;1,35;0,09;0,02;NA;NA;626;219
"ctb0036";"ACC-11003-2008";"1";NA;"b";"0";"20";3,04;1,42;0,91;0,92;4,6;NA;3,65;0,1;0,04;NA;NA;614;204
"ctb0036";"ACC-11004-2008";"1";NA;"b";"0";"20";4,14;1,55;0,74;0,79;7,1;NA;1,19;0,13;0,11;NA;NA;650;185
"ctb0036";"ACC-11005-2008";"1";NA;"b";"0";"20";4,44;2,54;1,21;2,63;4;NA;0,84;0,06;0,03;NA;NA;511;318
"ctb0036";"ACC-11006-2008";"1";NA;"b";"0";"20";4,04;1,57;1,54;1,58;6,5;NA;0,74;0,14;0,06;NA;NA;520;313
"ctb0036";"ACC-12002-2008";"1";NA;"b";"0";"20";4,34;2,22;0,72;1,05;6,1;NA;1,21;0,07;0,03;NA;NA;578;254
